match_id,tournament,match_no,date,kickoff_source_time,kickoff_timezone,kickoff_utc,source_url,stage,group_name,team1,team2,team1_code,team2_code,team1_id,team2_id,neutral,team1_ht,team2_ht,team1_ft,team2_ft,went_extra_time,team1_et,team2_et,team1_extra_time_goals,team2_extra_time_goals,team1_final,team2_final,team1_pens,team2_pens,winner,venue
2022047,2022,47,2022-12-02,18:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 13,Group H,Ghana,Uruguay,GHA,URU,47,32,1,,,0,2,0,,,,,0,2,,,Uruguay,"Al Janoub Stadium, Al Wakrah"
2022048,2022,48,2022-12-02,18:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Matchday 13,Group H,South Korea,Portugal,KOR,POR,3,41,1,1,1,2,1,0,,,,,2,1,,,South Korea,"Lusail Iconic Stadium, Lusail"
2022049,2022,49,2022-12-03,18:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Round of 16,,Netherlands,USA,NED,USA,21,13,1,2,0,3,1,0,,,,,3,1,,,Netherlands,"Khalifa International Stadium, Al Rayyan"
2022050,2022,50,2022-12-03,22:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Round of 16,,Argentina,Australia,ARG,AUS,37,15,1,1,0,2,1,0,,,,,2,1,,,Argentina,"Ahmad bin Ali Stadium, Al Rayyan"
2022051,2022,51,2022-12-04,18:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Round of 16,,France,Poland,FRA,POL,33,10006,1,1,0,3,1,0,,,,,3,1,,,France,"Al Thumama Stadium, Doha"
2022052,2022,52,2022-12-04,22:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Round of 16,,England,Senegal,ENG,SEN,45,34,1,2,0,3,0,0,,,,,3,0,,,England,"Al Bayt Stadium, Al Khor"
2022053,2022,53,2022-12-05,18:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Round of 16,,Japan,Croatia,JPN,CRO,22,46,1,1,0,1,1,1,1,1,0,0,1,1,1,3,Croatia,"Al Janoub Stadium, Al Wakrah"
2022054,2022,54,2022-12-05,22:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Round of 16,,Brazil,South Korea,BRA,KOR,9,3,1,4,0,4,1,0,,,,,4,1,,,Brazil,"Stadium 974, Doha"
2022055,2022,55,2022-12-06,18:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Round of 16,,Morocco,Spain,MAR,ESP,10,29,1,0,0,0,0,1,0,0,0,0,0,0,3,0,Morocco,"Education City Stadium, Al Rayyan"
2022056,2022,56,2022-12-06,22:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Round of 16,,Portugal,Switzerland,POR,SUI,41,8,1,2,0,6,1,0,,,,,6,1,,,Portugal,"Lusail Iconic Stadium, Lusail"
2022057,2022,57,2022-12-09,18:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Quarter-finals,,Croatia,Brazil,CRO,BRA,46,9,1,0,0,0,0,1,1,1,1,1,1,1,4,2,Croatia,"Education City Stadium, Al Rayyan"
2022058,2022,58,2022-12-09,22:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Quarter-finals,,Netherlands,Argentina,NED,ARG,21,37,1,1,0,2,2,1,2,2,0,0,2,2,3,4,Argentina,"Lusail Iconic Stadium, Lusail"
2022059,2022,59,2022-12-10,18:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Quarter-finals,,Morocco,Portugal,MAR,POR,10,41,1,1,0,1,0,0,,,,,1,0,,,Morocco,"Al Thumama Stadium, Doha"
2022060,2022,60,2022-12-10,22:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Quarter-finals,,England,France,ENG,FRA,45,33,1,0,1,1,2,0,,,,,1,2,,,France,"Al Bayt Stadium, Al Khor"
2022061,2022,61,2022-12-13,22:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Semi-finals,,Argentina,Croatia,ARG,CRO,37,46,1,2,0,3,0,0,,,,,3,0,,,Argentina,"Lusail Iconic Stadium, Lusail"
2022062,2022,62,2022-12-14,22:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Semi-finals,,France,Morocco,FRA,MAR,33,10,1,1,0,2,0,0,,,,,2,0,,,France,"Al Bayt Stadium, Al Khor"
2022063,2022,63,2022-12-17,18:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Match for third place,,Croatia,Morocco,CRO,MAR,46,10,1,2,1,2,1,0,,,,,2,1,,,Croatia,"Khalifa International Stadium, Al Rayyan"
2022064,2022,64,2022-12-18,18:00,unverified source local time,,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2022/worldcup.json,Final,,Argentina,France,ARG,FRA,37,33,1,2,0,2,2,1,3,3,1,1,3,3,4,2,Argentina,"Lusail Iconic Stadium, Lusail"
